Name,Address,Cuisine,Attire,Description,Website,Image_URL,Latitude,Longitude
Bonnello's,"24427 Narbonne Ave, Lomita, CA 90717",Pizza,Any,"Nestled in Downtown Lomita, this pizza place has been there for as long as anyone can remember. Their Sicillian slices are the perfect blend of crispy, thick, with a rich tomato sauce that can only be from San Marzano tomatoes. The windows have paint drawings all over that are chipped, and the photographs are faded, but this place isn't going anywhere anytime soon. ",https://www.yelp.com/biz/bonellos-new-york-pizza-lomita,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEoc6V6i2hL_eab6dCxq6W8aglGg8qhmWVN86axUVvZ7vNXjXkRB8k7zEBwOt73v3unWcOkfCNNvEkj7uBLP8_gjkdpowf-gEJKQH7QRT7P53zEP6p1HUS3VJazdBZ2owwn10uXsEyEvwyJHwGR_uCEwKMFbhJ3qsGzkdYU5D8X33ymH-XlxbN5ylg=w289-h312-n-k-no,,
Corridor Flow,"24614 Narbonne Ave, Lomita, CA 90717",Coffee,Any,"Of the pretentious coffee shops in Los Angeles, this is one of the best. Yes, they have the seven-dollar lattes, but the Cereal Latte is one of the best. Their bagel and lox isn't bad either- but their Avodaco Toast is absolutely killer. Their matcha is pretty good, but I'd stick to the coffee. ",https://www.corridorflow.com,https://lh3.googleusercontent.com/p/AF1QipNCsjUlkpmqAyv61o94R7d3AlrDy1PABdOIWtHF=w289-h312-n-k-no,,
Hi-Fi Espresso,"1815 S Catalina Ave, Redondo Beach, CA 90277",Coffee,Any,"I love this place! Especially, I love the Bees Knees latte- the hot honey is such a pleasant surprise and somehow works. This is strange for me, because I don't tend to like spicy drinks but this is an exception. The French Toast Latte is also very pleasant- the cinnamon and maple work in harmony with the bitter coffee. Theres a few locations, but I like this one the best.",https://www.hifiespresso.com,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepfjTlc_F2hs3LEmrG5MeGvSFJdPi4zerjYMcn6BuuDK4NGrHmcKJmhVNngwN89Abz-N9wA6NBtJlvyNUnlSDs9EFx3ybf0cY45amPeMfztLsFpMTp-UZ0gL0lO804KMFfd5nS6=w243-h304-n-k-no-nu,,
Yellow Vase,"31248 Palos Verdes Dr W, Rancho Palos Verdes, CA 90275",Breakfast,Any,"There's several locations, but this one has the best view. I prefer their sweet crepes to the savory options, but that's true for any crepe. It's super fast and tasty, but don't get tricked by the quiches in the window. The crepes are much better, and so is the Croque Madame. Their lattes are pleasant, but nothing to write home about. ",https://www.yellowvase.com,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerkLwWEwHjOCOKI-qo17iHWUhTlC04wjNFq9AHIbYOBpyNYMYYNtf7f4nelSEb-TI2jlw0e5GXoVykSLLSbvHQWtqXQgRdrwDN4dIMeLCgAW7AZeBE8SzcwLoxSCoh2fKPx4TjF=s1360-w1360-h1020,,
Avenue Italy,"31243 Palos Verdes Dr W, Rancho Palos Verdes, CA 90275",Italian,Nice-Casual,"This is a great Italian place with a gorgeous view and fresh ingredients. Pro tip- pull up the menu on your phone and get a Bruschetta for the table for free! The Rigatoni con Luganega is perfect, but the Spaghetti Aglio, Olio, e Peperocino is better somehow. It's the type of dish that you go home and try to recreate for years but with no avail.",https://www.avenueitaly.com,https://lh3.googleusercontent.com/p/AF1QipMFbHA_NuQ2njJNJVUOrG1p1HbPwsXpCbS0TO9q=w289-h312-n-k-no,,
The Crepery Café,"810 Silver Spur Rd, Rolling Hills Estates, CA 90274",Breakfast,Any,"As the name suggests, the crepes from here are pretty good, but surprisingly so are the Chilaquiles. Wednesday mornings around 8-9 there'll be a huge rush of highschool students, but every other time it would be an easy breakfast spot to pop into!",https://thecreperycafe.com,https://lh3.googleusercontent.com/p/AF1QipPmwe1-kAzRFt4Bf4I4rK-gf3exXnscmi_mcJDQ=w243-h174-n-k-no-nu,,
Dragonfly Thai,"50-A Peninsula Center, Rolling Hills Estates, CA 90274",Thai,Any,"A neighborhood place that has some of the best Pad Thai and Pad Kra Pow that I've had outside of a friends' moms' kitchen. It's good portions, relatively inexpensive, but I'd go after the high school lunch rush. It's walking distance, and there gets to be a bit of a rush. ",https://www.dragonflythaibistro.com,https://lh3.googleusercontent.com/p/AF1QipPgV_OVP6lcCGLw8-cujTSpaW4TYt8Fe61SbRS-=w289-h312-n-k-no,,
Pho Hana,"55-B Peninsula Center, Rolling Hills Estates, CA 90274",Vietnamese,Any,"All through middle and high school, this was the place we went to after all the important things. A bowl of pho from here is nostalgic, the bulgogi is enuogh to share, and if you're just running in then the boba is can't miss. ",https://www.noodlephoever.com,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHk-EwBSYIVIDtp6597ad0ET3eyfBWk1BZdb5SSrsdz5fCOVvirM8j81aMZeo5-w-oBZfQMdDdgJkUb5O-Xf6QCq7gJLNfXIxmVkRn0L-KNlI5jaXYDam-u8LfdBWnye0FMgT_Seu391bBqmMGFlWN9Q8hmq1_ylK9N0xiJGZGvUJyrEKPu0KPJT1g=w289-h312-n-k-no,,
Lunada Market and Deli,"2201 Palos Verdes Dr W, Palos Verdes Estates, CA 90274",Breakfast,Any,"The smoothies here might be the best thing on their menu. I mostly came here to see my friends who were working on weekends, but it was the perfect pre-walk drink. The deli here also has great cuts of meat for grilling, and some are marinaded even!",https://lunadamarket.com,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerfmsGwF0x6k-BbYXEhtXWsES0CZPdw6sz__XoTIgGxSbGkYKGWBSNybBCwMOZ5Li7NhGtfQOvSUprgDloZEJ1rKMVs98NqkzlkgPO7oMCQLr-J3NxCiGQIQYYg1bRgz5p2Tq8=w289-h312-n-k-no,,
Seaside Bistro,"1420 W 25th St Unit A, San Pedro, CA 90732",Diner,Any,"This is a perfect little bistro place where basically the whole menu is good. You'll probably run into someone's parents you know, so be on your best behavior. The clientele is almost exclusively locals, and if you go early enough half of them will be longshoremen. Their fries are probably my favorite part- they're crispy, pillowy. and thick enough to hold nicely onto some ranch but not so thick your mouth runs dry. ",https://sidebistro.com,https://lh3.googleusercontent.com/p/AF1QipNWO7U4t8W3FTmpV8-q6YSPSXD2DKDsbWSf7hnm=w289-h312-n-k-no,,
Sorrento's,"2428 S Western Ave, San Pedro, CA 90732",Italian,Casual,"This is the type of place the Little League team comes to for celebratory pizzas after winning their games. It's warm, bursting with life, and the perfect neighborhood Italian spot. Get the Baked Rigatoni or the Chicken Parmasean- and if you eat in they both come with the world's best side salads. ",https://www.yelp.com/biz/sorrentos-restaurant-san-pedro,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqCpNdc69zVPzXOFmDs0Yj4rrvl20xMR-ZTxU8UJnh1zP8gd6uZMzGAW0ovEaPYYC5tZ8KX-4OChAtz-GfrlkP76GDYStG3-XgkHtBY9xK5IeHZK5yF3QURXUjt5zUABJeZO5k=w289-h312-n-k-no,,
Perry's,"2400 Ocean Front Walk, Santa Monica, CA 90405",Beach,Beach,"Perry's has a handful of stands up and down the beaches, and they're all tasty but this one has the best people watching. It's the perfect spot for a burger on the beach while you're still warm from the sun, though it can be a little pricey. This one is more of a restaurant, while most of the other locations are more about walkikng up and grabbing a hot dog. The hot dogs are amazing too, though sadly no Diet Coke.",https://perryscafe.com,https://lh3.googleusercontent.com/gps-cs-s/AHVAweojAtI0X6FkYXwEq6RjHW5ginHEHUCBK4953W6nXAg4Yhn2mE6WucKG1FIYYXuVpn96-sVDori0aflhD-dRVH-Wcsq2BYJpiS-oj3uhRRnTGBJNnF8NdbLKbdVOjRANp8g7Ag8=w289-h312-n-k-no,,
Fox & Farrow,"1332 Hermosa Ave, Hermosa Beach, CA 90254",New American,Nice,"Any place that has a Pretzel Loaf as the first thing on the menu is an automatic win in my book, but it only gets better from there. But, don't get tricked by the first instance, and instead bypass it for focusing on the Sausage Selection, which changes all the time, which still incudes the pretzel loaf but with a fantastic selection of meats.  Without a doubt, the best thing I had was the Duck Pasta, hold te pine nuts. I still think about it- the shape of the pasta, the richness of the herb reduction... Yum.",https://www.foxandfarrow.com,https://lh3.googleusercontent.com/gps-cs-s/AHVAweowHc7CQZaE0AIx_Kj-3Ac3qSzWx2RIpc5ljiWykmeosm_aURRnWxMSqVtR_ogg0XLYX8eM3z3UvPogK3zm9sNRpvkLaeaVSeroKNEDKSV6bQE3miXRsb_a9ePpYNro7j1y_jCl=w243-h174-n-k-no-nu,,
Frida,"21438 Del Amo Cir N, Torrance, CA 90503",Mexican,Nice-Casual,"It's not often that I find enchiladas that are as good as the ones from my roommate's abuela, but these are a close second. The mole is decadent, spicy, and just the right amount of bitter that you need it to be. The vibes are high, the chips are hot, and the margaritas are dangerous. Take an Uber.",https://fridarestaurant.com,https://lh3.googleusercontent.com/p/AF1QipPPWAawEaCIl9sN-R8QLebj18ZQkdQd8WYOmHf2=w289-h312-n-k-no,,
555 East,"555 E Ocean Blvd, Long Beach, CA 90802",Steakhouse,Chic,"Baked goat cheese, shrimp cocktail, I could go on and on. This is a classic steakhouse that guarentees their experience unconditionally. They have good legs to stand on, speaking absoolutely. You step back into 1957 when you walk in, and it's the most pleasant experience. Best shared with friends, their steaks are their pride and joy for a reason. Their daily cuts change (daily... duh) but give them a shot if you're feeling that type of dry-aged vibe.",https://www.555east.com,https://lh3.googleusercontent.com/p/AF1QipOrJ_yxVkrQqqf3hH5o7bW4lMC9xi7X1pTsKeXJ=w289-h312-n-k-no,,
Chart House,"231 Yacht Club Way, Redondo Beach, CA 90277",Steakhouse,Chic,"This is somewhere I wouldn't say to go unless it was a specific occasion. They host wine dinners regularly, and the experience is like no other. It feels top of the line, because it is, and you'll end up with an experience that can't be replicated or duplicated. ",https://www.chart-house.com/store-locator/,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq_ufiY5kKAbQdGsBEpSkl54GQzh2hF84zvZKTYdjdyU7Cp4P36qC2fNwDyyqYh2heSRP-zFWLLqlz79ugFFyhaHZoHpnlt_KTEHZ8iZj07y2QdsZ-StrhMhnIGXt2KQzETDSeWSBxv79m0=s1360-w1360-h1020,,
Hudson House,"4600 Dexter Ave, Fort Worth, TX 76107",New American,Nice-Casual,"This place is somewhere I would be sure to grab a reservation at! It's always busy, and for good reason. It reminds me of Houston's where they serve incredibly good sushi but also great burgers. Their Lemon Drop martini is to die for (I think it's the limoncello foam) and they have Disaronno for an after-dinner cocktail. Great weeknight spot!",https://www.hudsonhouse.com/location/forth-worth-tx/,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep4BzLSn_Q3kQu2qBBb6KnW6zeIPNPkmJcBOsEKu3-lR7LaT_-JZwLqs-IhS7Ol7qnneHeuHqHooT3_7or8PtCdU-ZT4KODvSZquUXxsN7Bh5g0bKHUE6DxBscLAUUGb-SV-XVk7X80NRdm=w243-h174-n-k-no-nu,,
Maria's,"1712 S University Dr, Fort Worth, TX 76107",Mexican,Nice-Casual,"It's hard not to rave about their margaritas and their empanadas, so that's what I'll do. The atmosphere is lively, the staff is personable, and the chips and salsa are incredible. A note about the parking- there is a lot on site, but there are not a lot of spots, so I would reccomend carpooling or taking and Uber.",https://www.mariasmexicankitchen.com/fort-worth/,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoZ87RPkmQm-pb8FRfghZdGTazmxAt1bgQinMHXnfbn4cSeDSho7YuirTkutOBB37W46OTXaKsbIw2rPQxve0wKYjOVcRlE4xe2xO2k67ZYCLj87Ub4lnaqjGmCy7jbxC2E8NxC=s1360-w1360-h1020,,
Birdie's Social Club,"2735 W 5th St, Fort Worth, TX 76107",Bar,Jeans and a going out top,"Birdie's is the perfect place to sit on a warm summer afternoon. Staff is so kind and friendly, and if you get hungry before 9pm you can order Blue Mesa Mexican to your table. It's like magiv. They have two event venues, and local music is a frequent flier. During the holidays it's decked to the nines and they have a curated cocktail menu a mile long. ",https://www.birdiessocialclub.com,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepBgpWMROPSjlCQ6oIvLWY5IdLcocDF-WZVSEf2F1Jp1wcRP4stiMD5pEYR0UZNP5hcnQjirxIWwJxzTj7WrYSSJv3cXtLe6amTa4Bj7cunM4DdXtWaUuifZ1RbKfr3Mj3ZNWeP=w289-h312-n-k-no,,
Terry Black's BBQ,"2926 W 7th St, Fort Worth, TX 76107",Southern,Casual,"Incredible, yet expensive. Would recommend going in a group large enough that you can get one of the bigger platters, because you can always take leftovers home. Their jalapeno and cheddar sausage is life-changing, and surprisingly their fresh green beans are a crowd-pleaser. Can't reccomend the corn enough either. ",https://terryblacksbbq.com/ft-worth,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer47tM3xJFYO84qXWKdW_zUQdy9yQyZADKASoasO3Rl7etMj5a1wV4rW5rFRZqEQYs_sEy8sAqpbeRnU4gx-5eDF_YQQgAZY-4dYCFiUi8bhSYrUlnsRqqnXUSPMVPhVls7ZVZkXzUHJQOY=w243-h203-n-k-no-nu,,
Wabi House,"1229 8th Ave #227, Fort Worth, TX 76104",Ramen,Casual,"Warm, comforting, yet elevated. This is a geat take on ramen and the accompanying various acoutrements that follow. The gyoza are a great appetizer, and each dish is almost fully customizeable. If you're not going for lunch, then be sure to make a reservation or be prepared to wait in line. There's usually an electronic waitlist that's pretty accurate!",https://www.wabihousetx.com/fort-worth/,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerhLXmcX30D7Zx3M7X9LF6IoWh-jHiLNA1FnOltpRjzw0luXn9NHdqMlgiQY5bbxeHDIAREerBP3ndj6Nd0wJq2E0wjJlqj76Ov-GcpDJecasflIbG5DYQqk3vDt_wv168MzFpbvIzqqDOC=w243-h244-n-k-no-nu,,
Maggie's R&R,"1264 W Magnolia Ave, Fort Worth, TX 76104",New American,Casual,"Happy hour central with a side of live music and great vibes. I love this patio as soon as the weather turns warm, and so does the rest of Fort Worth. You can usually grab a table (as long as your party isn't too big) and I would definitely recommend the Dirty Shirleys. They do it with half ginger beer and half Sprite, so there's a refreshing extra bite to every sip/",https://maggiesrr.com,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq5KXm-T6yR8aleRjTfMx_GbaQliCnCcso3D_qBGagfcY7Eq76W3sGKVeXhe6psaAbkAUkgvG3DPBqXJF6FRvsYj8UbKcL6Sb9lQueay5Gi0PAO0Jc4X2kJhFDrG1V6XvkQpDpe=w289-h312-n-k-no,,
Maison Sauvage,"5 Rue de Buci, 75006 Paris, France",Bar,Jeans and a going out top,"This bar and café (but mostly bar) was around the corner from our hotel, and I think we went every night for a pre-dinner cocktail. It is France, so be aware of slow service, but it's adorable",https://www.maison-sauvage.fr,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqMwOYbDOR17G7-xCaLMwl87uORR7dl31tfEkVEAhQY_VLP4_f5fmTRLMgtIotdjjQa1Pu0RfY9OjNXG7lwcNPwWn_5MwvpyJBfKtKmAAmQB90WJhwvj8zCmkD-8MBA66PxHVO2IP03aj2I=w243-h174-n-k-no-nu,,
Jules Verne,"Avenue Gustave Eiffel 2ème, Eiffel Tower, Av. Anatole France, 75007 Paris, France",Upscale French,Fancy but not black tie,"Eating here was the first time I had ever been to a Michelin Star restaurant. And my goodness, was it worth it. If not for the fact that the butter pats were monogrammed but also that the entire staff was attentive, professional, and very apt. Of course, you're paying for the service, but it is something that you know in advance. Upscale French dining, be aware of your limitations when it comes to that. Fois gras foam is not for the faint of heart.",https://www.restaurants-toureiffel.com/en/jules-verne-restaurant.html,https://lh3.googleusercontent.com/p/AF1QipOZK_0hFCb82m77Vl_bKdDsiEmN83aPfyvRVncM=w243-h174-n-k-no-nu,,
Chez Bartolo,"7 Rue des Canettes, 75006 Paris, France",Italian,Nice,"Yes, I'm reccomending an italian place that's in France. First of all, they have not just one but two barrolos on the menu last time I was there, and their pastas and pizzas are incredible. It's the perfect place for family style dining, and just… fun. Perfect for breaking up the monotony that French food sometimes has. Second of all, it's consistent. We'e been twice in two years and had the exact same fabulous experience both times. ",https://bartolorestaurant.fr/en/home,https://lh3.googleusercontent.com/p/AF1QipM9l9q0TP1HIKPNJ1o4y48e68266q5BdxLgk6w5=w243-h174-n-k-no-nu,,
Flower Child,"1616 S University Dr #301, Fort Worth, TX 76107",Casual,Any,"Perfect for lunch on a weekday, and has a handy-dandy order-ahead feature. The mac-and-cheese is famous for a reason, but not enough love is given to the cauliflower risotto. I've never had a bad thing on the menu, though I can't say that I've tried it all.",https://www.iamaflowerchild.com/locations/fort-worth-tx/,https://lh3.googleusercontent.com/p/AF1QipOpNyYaEhXOAgtI6jRTMzDtu0zsSjbmZDDIxxcB=w243-h174-n-k-no-nu,,
HG Supply Co,"1621 River Run #176, Fort Worth, TX 76107",New American,Any,"Fabulous for a happy hour- their apps and cocktails are great! The patio is right on the Trinity River, so there is a lovely breeze on a spring afternoon. ",https://www.hgsplyco.com/fortworth,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqy_sHgFOOX9TPuo9HmCTqnVh3rY8urCrZ4w3GILy0kNtkTCDXjXYu8u31vXFgtdAspwpDtgf5CxFTRgGYtw3RwPGfgX2aeckXvadyaQJyGCHFVTuheUewFqu0b8hPfsMqO0DkC=w289-h312-n-k-no,,
Quince,"1701 River Run suite 181, Fort Worth, TX 76107",Mexican,Nice-Casual,"I've been to a few birthday dinners here that were very well-executed, so a huge plus that they accommodate large parties well. The atmosphere is always lively, and it's a very nice touch that they have the Veuve Cliquot arrows for Fort Worth (it makes me unreasonably happy I can't explain it) and it on the menu. Though, I wouldn't necessarily order it instead of ordering a margarita, but to each their own. ",https://www.quincesma.com/fw/,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoeke6pGrkFVdk4giTWLflT4OfxIaumkjKVqa6MGLPN8CEABN5bGVY4_OPLOQa1htNVN5PA31fhXqrSDJinD6mo6MmMoGCLHuQR_IsRwlQzat1Edd_VUp2my2gjHHUmfpeKvCuIPLXWYUjF=w289-h312-n-k-no,,
Asencion,"1751 River Run Suite #151, Fort Worth, TX 76107",Brunch,Any,"LOVE this place for weekend brunch- make a reservation online the day before for no waiting! I've never had a bad meal here, but the service does remind me a bit of a Parisian café, where you have to flag down the staff to get anything. Not sure if that's on purpose or accident, but do keep it in mind. It's a slower pace, but great vibes. You can go after a workout, before shopping in Clearfork. or anything in-between.",https://ascension.coffee/?srsltid=AfmBOooNMSPc4l0TDNUneb4mQaq3mFafY9ZNHkbBoirq26jVOrFtBC3I,https://lh5.googleusercontent.com/proxy/O0rWvp8PIOwoSEvo0eIBj9ZR85YK2AvfFASx8Bz9y50cr8EJYaZCtAKonDsswImwr2gh2zHWaBXr90cN6XobxcljQIix81_fPlHs0pAtXJeDEf2tYw0iVTNqvIRQV2abzpnznbjCLwI2ZhZYarjKCDcUMWB2UA=w160-h106-k-no,,
Luke,"333 St Charles Ave, New Orleans, LA 70130",Brunch,Nice-Casual,"Luke is on my dad's top-ten restaurants of all time list. I can see why. Their brunch is quintessentially New Orleans cuisine, and the atmosphere is amplified by the Marine sabers and medals on the walls. The wide windows let the sunshine in, and it's a place where you can't help but have a good time. If you're lucky, you'll go during their prix fix menu, and truly experience some of the best of the best that NOLA has to offer. ",https://www.lukeneworleans.com,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqawRvpW_wToy-F9bq_5u6ba0WXHpQnrVAWdE8XQ3yu2DWZCq-Y2_5gDnXM8v3GQyNGgmUcbgIoS7AIC98fTNvy9CEOBaVAIjiEsTfnRzspkmvW1VVAEL1HIFKVfQD-fq4Dxj5x=w243-h244-n-k-no-nu,,
Chuys,"2401 W 7th St Suite 110, Fort Worth, TX 76107",Mexican,Any,"Yes, it's a Mexican chain, and no I have never had a bad meal here. Their creamy jalapeno is famous for a reason, and it's somewhere where you can't go wrong. If you go during peak dinner hours, be prepared to wait without a reservation, but honestly their lunch menu is pretty similar and just as delicious. They do seasonal beverages which are always incredible, and the frozen margaritas are perfect. ",https://www.chuysftw.com,https://lh3.googleusercontent.com/gps-cs-s/AHVAwertq5gUDnwq0mkwFspjPDUSixipyuRDcY1MhImKci9Kv0WDjcopA8VO_IQm_kybk2le44tqsmpohexlYEsBgq0sFsnF5i0qDfRgA0mW2L85wHsjQ9nElHq-uQfU_LhivyLgwRPeCEv1zQxS=s1360-w1360-h1020,,
Kincaids,"4901 Camp Bowie Blvd, Fort Worth, TX 76107",Burgers,Any,"Kincaids is a Fort Worth institution. It's been around since it was a grocery store that happened to start selling burgers out of the back meat counter, and their first location still carries the nostalgia that would be found there. The burgers are fantastic, and I highly reccomend the ranch with the fries. ",https://www.kincaidshamburgers.com,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo7G8IcYJp9B1aYGSHS3IHK7h1aqd7l90l4U5XG-ONikaZfRfNpuswVUrVeiFaxiPmAPd5mb9B9CDUe8zJcazc2AEa258c9UPHgel-7HNyZjfgIR2Hu_6dwxOC8RW5WOP2-Ofi_CnKCBrE=w289-h312-n-k-no,,
Coco Shrimp,"318 Bryan Ave, Fort Worth, TX 76104",Seafood,Any,"Tucked into a corner of an industrial neighborhood, Coco Shrimp is serving up exactly what it sounds like: coconut shrimp. Of course, you can get grilled as well, but the coconut is so much more fun. There are six different choices for various preperations and additional sauces, and I haven't tried a bad one yet. A great atmosphere, and delicious. ",https://www.cocoshrimp.com/bryanave,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqB7Ac0EMFxYHFGSLht6VL_HHVk7QySXaAoQ8zLL_HAaBG2dYoCRXP0kIp0xN0U9Zhl1YzE2Ao9Z9SBeQ36h7N2PkLR0NnSC7z8g0GyyXuJzpzc0U_AlfpVNS7gvhCf0cFh0P40=w243-h304-n-k-no-nu,,
Eatzis,"1540 S University Dr #100, Fort Worth, TX 76107",Italian Deli,Any,"While I've really only been to the sandwich line inside of this Italian supermarket, I have several friends who can vouch for the fantastic hot dishes that they also serve. All the bread is incredibly fresh, the meat is freshly sliced, and the large sandwich is as big as your head. A fantastic spot for lunch, and if you are lucky enough to grab a seat outside, you can enjoy Italian opera alongside the fantastic sandwich. Their iced tea is also phenomenal. ",https://eatzis.com/fort-worth/,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepqfsvAkOOqkV7WrnTa7MlzkmMOtoXK1h-kKKbxZeTu3fH8X6e81v29Ygs6-PqK-b2v4m1To0uYckpxgMdenKaP95w-J7vYPLD_4Tn59olJ1M2PzjaxI8sKr0aCY82fTSDf69k=w289-h156-n-k-no,,
Milk Bar,"3708 Las Vegas Blvd S, Las Vegas, NV 89109",Dessert,Any,"Nestled in between Momofuku and a long winding hallway, this stand has not only fabulous lattes for the morning, but also some of the most interesting soft serve that I've ever had. It's cereal milk flavored, and comes with cornflakes around the side, and I've never encountered that unique of a combination, especially considering how accurate it is in description. ",https://milkbarstore.com/?srsltid=AfmBOooklVAD86EArBq0v5W2u0SScuOS02b3ks_Sat2Iz1F6Qcgso2Ys,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqSP5SpuaUZN2ILOlPcU_V6ycgmqxFprLXosv0_5afFMd8XtnRglHLKlWBvqR7dIsyJLQFwHpmgiSVZotyXhSuYEmHJVnoC1mzhoFrQmvf9GFEs2jXZCvXuJQUluA0cNSN9yA6Oxh2dGGE=w141-h141-n-k-no-nu,,
é by José Andres,"Boulevard Tower, 3708 Las Vegas Blvd S Level 3, Las Vegas, NV 89109",Upscale Spanish,Fancy but not black tie,"6 seats, 4 chefs, and an unforgettable night. The menu changes extensively from night to night, and the chefs curate a menu that can last between 15 and 20 courses. Most memorably were the cotton candy empanadas with corn nuts, the freeze-dried Wonderbread and fois gras sandwich, and the charred octopus with rosemary air. This is a once-in-a-lifetime dining experience that takes into account dietary preferences, restrictions, and allergies to the highest degree. ",https://www.ebyjoseandres.com,https://lh3.googleusercontent.com/p/AF1QipNKuh2BW2EIxCQQ65axQika_l79J1QfZqajOViV=w243-h203-n-k-no-nu,,
Velvet Taco,"2700 W 7th St, Fort Worth, TX 76107",Mexican,Any,"Not only are their margaritas kick-ass, but so are their tacos and elote. It's open late, has a great rewards program, and convienently located in a few areas across the Metroplex. ",https://www.velvettaco.com/location/fort-worth/,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoY7KekP58pWd77vfgY1ECg4uhqduF74qY5vzZ-jf2upbo61uJn5-_JD4VHbdNEQpO98bSjqITYkoVZ8Znj7AzryWS9islBh6vDgI4DphTCFPZ1EMuEi13V3wKLw7jNvDBzAPTI=w243-h203-n-k-no-nu,,
Secret Pizza,"Boulevard Tower, 3708 Las Vegas Blvd S Level 3, Las Vegas, NV 89109",Pizza,Any,"This place has no name. It's known only as ""secret pizza"" because it's hidden down a long and winding hallway where they're cranking out fresh pies left, right, and center. I can't even say there's something to order in particular here, because they make whatever pizzas they want at the time, though the white pizza was a repeat order for me. ",,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoSb2uZ_gEtwJEkfFUF7wqacJQlU3X1XaK02z3fHb8rf-6oxtBvXwpac731Om_QgQ6qQhWrWeWJY6mI4Hf0tfWJ_aa2AnYBxgPo-XsmS6Pu-uZ7rJfPdkZJF3GmUdWrcHB3aLc=w289-h312-n-k-no,,
Prime,"Bellagio Hotel & Casino, 3600 S Las Vegas Blvd, Las Vegas, NV 89109",Steakhouse,Chic,"I'm incredibly biased about my experiences at this restaurant. This is one of Jean George's places across Las Vegas, and the one that has been renovated the most recently. Soft blue velvet drapes, staff in tuxedoes, and gorgeous steaks on the menu, with regular bottles of my favorite (and very hard to find) bottle of champagne make this experience one to remember. I don't know if it's still on the menu, but I do dream about their lemon merangue pie a considerable amount. ",https://www.jean-georges.com/restaurants/united-states/las-vegas/prime-steakhouse,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepcykLflYRDaDzBUVMI4qvDUPHXPx0zUCm8Os_HwS3ey582pcOXJDl7SYbPuJmW09q5JK-PJOohXvGSHQUfwVC6XUGiGnyQrPxCQfATubuIDRreqLH_mggGoIa7e1-Agdi9_jwjz1lpfl6O=w243-h203-n-k-no-nu,,
Jasmine,"Bellagio Hotel & Casino, 3600 S Las Vegas Blvd, Las Vegas, NV 89109",Chinese,Chic,"If you're looking for authentic, upscale, traditional Chinese cuisine, this is the place to go. The dining is family style, and I recommend going in a larger group in order to accommodate the fact that you'll want to order everything on the menu. With a view of the Bellagio fountains and a laid-back attitude, this is a fantastic dinner before a show in Las Vegas. ",https://bellagio.mgmresorts.com/en/restaurants/jasmine.html,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoVKGDg7d0OTHjgRye5ZUKUvncAJEfNTXTgqVcYg1t1p-3IYdfA_pCX6cgkxTWf9FGGrMoPNVH5WY81ZCOqZ52Q1FDOOV9q_OfrD_ty7IxqfPmbPmotMJ-k4wgWFtzP_wsJRS7jCk0uyK8=w243-h174-n-k-no-nu,,
STK,"Boulevard Tower, 3708 Las Vegas Blvd S Level 2, Las Vegas, NV 89109",Steakhouse,Chic,"Here, the dinner is the show. Past 10pm, there's usually a DJ in the corner spinning tracks, and it's a great place to go before heading to the Library next door at Marquee Nightclub. Don't skip the churros at the end- it was one of my favorite bites I've ever had. ",https://stksteakhouse.com/en-us/location/las-vegas/,https://lh3.googleusercontent.com/p/AF1QipOd4lWPJmIRRy330hjsO0m4WC8mDeWzYvsGOMo=w243-h174-n-k-no-nu,,
China Poblano,"Boulevard Tower, 3708 Las Vegas Blvd S Level 2, Las Vegas, NV 89109",Chinese and Mexican,Nice,"An interesting fusion of Mexican and Chinese cuisine, this restaurant focuses on the relationship that came out from the surprising mix of the cultures. Have some dumplings and 20 vegatable fried-rice (try to count them all!) alongside chips and a taco with some of the best Mezcal I've ever had. ",https://www.chinapoblano.com,https://lh3.googleusercontent.com/gps-cs-s/AHVAwequZ9bH6nryilU9haOnFMLhJiKymZQUO5Y5Bm6zpH7n2VCVJLOQmdz_Igeqd3AAJALCNJv9qycYoeth7vhxByE7VHYqSNzxMFB9_DCLOlnxY9Ms2uKjoUK-inQp5Ty00orQF_Y=w289-h312-n-k-no,,
